subject,type,question,option_a,option_b,option_c,option_d,correct_answer,difficulty,irt_a,irt_b,irt_c
Database Management Systems,mcq,What is denormalization?,Increase redundancy for performance,Reduce data redundancy,Delete all records,Add more indexes,A,medium,1.3,0.4,0.1
Database Management Systems,situational,Need fast data lookup?,Index,Join,Delete,Update,A,medium,1.3,0.4,0.1
Database Management Systems,situational,Avoid duplicate data?,Normalization,Denormalization,Indexing,Joining,A,medium,1.3,0.4,0.1
Database Management Systems,situational,Retrieve records from table?,SELECT,INSERT,UPDATE,DELETE,A,easy,1.1,-1.0,0.2
Database Management Systems,situational,Ensure referential integrity?,Foreign key,Primary key,Index,View,A,medium,1.3,0.4,0.1
Database Management Systems,situational,Modify existing records?,UPDATE,SELECT,INSERT,DELETE,A,easy,1.1,-1.0,0.2
Database Management Systems,situational,Handle transaction failure?,Rollback,Commit,Savepoint,Delete,A,medium,1.4,0.5,0.1
Database Management Systems,situational,Filter specific rows?,WHERE,HAVING,GROUP BY,ORDER BY,A,easy,1.1,-1.0,0.2
Database Management Systems,situational,Aggregate column values?,SUM,WHERE,SELECT,JOIN,A,easy,1.1,-1.0,0.2
Database Management Systems,situational,Prevent dirty reads?,Isolation level,Atomicity,Durability,Consistency,A,medium,1.4,0.5,0.1
Database Management Systems,situational,Define database schema?,DDL,DML,DCL,TCL,A,easy,1.1,-1.0,0.2
DevOps,mcq,What is CI?,Continuous Integration,Code Integration,Cloud Integration,Control Integration,A,easy,1.1,-1.0,0.2
DevOps,mcq,What is CD?,Continuous Delivery,Code Deployment,Cloud Deployment,Control Deployment,A,easy,1.1,-1.0,0.2
DevOps,mcq,Which tool is used for CI/CD?,Jenkins,Docker,Kubernetes,Git,A,medium,1.3,0.4,0.1
DevOps,mcq,Which is a container tool?,Docker,Git,Ansible,Jenkins,A,easy,1.1,-1.0,0.2
DevOps,mcq,Which is a container orchestration tool?,Kubernetes,Docker,Git,Jenkins,A,medium,1.4,0.5,0.1
DevOps,mcq,Which tool manages version control?,Git,Docker,Kubernetes,Ansible,A,easy,1.1,-1.0,0.2
DevOps,mcq,Which tool handles configuration management?,Ansible,Git,Docker,Jenkins,A,medium,1.3,0.4,0.1
DevOps,mcq,Which tool implements Infrastructure as Code?,Terraform,Docker,Git,Ansible,A,medium,1.4,0.5,0.1
DevOps,mcq,Which tool is used for monitoring?,Prometheus,Git,Docker,Jenkins,A,medium,1.3,0.4,0.1
DevOps,mcq,Which builds automated pipelines?,CI/CD,Docker,Ansible,Jenkins,A,easy,1.1,-1.0,0.2
DevOps,mcq,Which is a container image registry?,Docker Hub,Git,Jenkins,Kubernetes,A,medium,1.3,0.4,0.1
DevOps,mcq,Which reduces deployment errors?,Automation,Manual process,Documentation,Ad-hoc testing,A,easy,1.1,-1.0,0.2
DevOps,mcq,Which ensures app scalability?,Kubernetes,Docker,Git,Jenkins,A,medium,1.4,0.5,0.1
DevOps,mcq,Which handles log aggregation?,ELK Stack,Git,Docker,Terraform,A,medium,1.3,0.4,0.1
DevOps,mcq,Which automates build processes?,CI,Manual builds,CD,Git,A,easy,1.1,-1.0,0.2
DevOps,mcq,Which handles secrets management?,Vault,Git,Docker,Jenkins,A,medium,1.4,0.5,0.1
DevOps,mcq,Which represents immutable infrastructure?,Containers,Virtual machines,Shell scripts,Manual setup,A,medium,1.3,0.4,0.1
DevOps,mcq,Which tool manages infrastructure?,Terraform,Git,Docker,Jenkins,A,medium,1.4,0.5,0.1
DevOps,mcq,Which handles deployment automation?,CD,CI,Git,Docker,A,easy,1.1,-1.0,0.2
DevOps,mcq,Which improves delivery speed?,Automation,Manual process,Documentation,Delays,A,easy,1.1,-1.0,0.2
DevOps,situational,Automate build process?,CI,CD,Git,Docker,A,easy,1.1,-1.0,0.2
DevOps,situational,Deploy application pipeline?,CD,CI,Git,Docker,A,easy,1.1,-1.0,0.2
DevOps,situational,Package application in container?,Docker,Kubernetes,Git,Ansible,A,easy,1.1,-1.0,0.2
DevOps,situational,Scale application automatically?,Kubernetes,Docker,Git,Jenkins,A,medium,1.4,0.5,0.1
DevOps,situational,Define infra as code?,Terraform,Ansible,Docker,Git,A,medium,1.4,0.5,0.1
DevOps,situational,Manage server configuration?,Ansible,Terraform,Docker,Git,A,medium,1.3,0.4,0.1
DevOps,situational,Centralize application logs?,ELK Stack,Git,Docker,Jenkins,A,medium,1.3,0.4,0.1
DevOps,situational,Store and manage secrets?,Vault,Git,Docker,Jenkins,A,medium,1.4,0.5,0.1
DevOps,situational,Track code changes?,Git,Docker,Jenkins,Ansible,A,easy,1.1,-1.0,0.2
DevOps,situational,Monitor system metrics?,Prometheus,Git,Docker,ELK Stack,A,medium,1.3,0.4,0.1
English Communication,mcq,Choose the correct sentence?,He go to school,He goes to school,He going to school,He gone to school,B,easy,1.1,-1.0,0.2
English Communication,mcq,Synonym of quick?,Fast,Slow,Lazy,Heavy,A,easy,1.1,-1.0,0.2
English Communication,mcq,Antonym of happy?,Sad,Joyful,Glad,Pleased,A,easy,1.1,-1.0,0.2
English Communication,mcq,Choose the correct present continuous tense?,She is eating,She eat,She eaten,She ate,B,easy,1.1,-1.0,0.2
English Communication,mcq,Plural of child?,Childs,Children,Childes,Childrens,B,easy,1.1,-1.0,0.2
English Communication,mcq,Correct article before apple?,a apple,an apple,the apple,apple,B,easy,1.1,-1.0,0.2
English Communication,mcq,Adjective modifies?,Noun,Verb,Adverb,Pronoun,A,easy,1.1,-1.0,0.2
English Communication,mcq,Adverb modifies?,Verb,Noun,Adjective,Pronoun,A,easy,1.1,-1.0,0.2
English Communication,mcq,Which is in passive voice?,Ball was thrown,Ball throws,Ball is throw,Ball throwed,A,medium,1.3,0.4,0.1
English Communication,mcq,Correct preposition for schedule?,On time,In time,At time,By time,A,medium,1.3,0.4,0.1
English Communication,mcq,Correct spelling?,Receive,Recieve,Recive,Receave,A,easy,1.1,-1.0,0.2
English Communication,mcq,Which is a noun?,Apple,Run,Quickly,Beautiful,A,easy,1.1,-1.0,0.2
English Communication,mcq,Which is a verb?,Run,Apple,Blue,Flower,A,easy,1.1,-1.0,0.2
English Communication,mcq,Which is a pronoun?,He,Run,Blue,Apple,A,easy,1.1,-1.0,0.2
English Communication,mcq,Which is a conjunction?,And,Run,Blue,Apple,A,easy,1.1,-1.0,0.2
English Communication,mcq,Standard English sentence structure?,SVO,SOV,VSO,OVS,A,medium,1.3,0.4,0.1
English Communication,mcq,Which is a formal tone?,Professional,Casual,Humorous,Informal,A,medium,1.3,0.4,0.1
English Communication,mcq,Correct email etiquette?,Formal greeting,Slang opening,Emoji only,No subject line,A,easy,1.1,-1.0,0.2
English Communication,mcq,Which has a grammar error?,He go,He goes,He went,He is going,A,easy,1.1,-1.0,0.2
English Communication,mcq,What improves writing clarity?,Simple words,Complex jargon,Long sentences,Passive voice,A,easy,1.1,-1.0,0.2
English Communication,situational,Writing formal email?,Use professional tone,Use casual tone,Use slang,Use emoji,A,easy,1.1,-1.0,0.2
English Communication,situational,Fix grammar issue?,Correct the tense,Ignore errors,Use slang,Abbreviate,A,easy,1.1,-1.0,0.2
English Communication,situational,Improve writing clarity?,Simplify language,Add jargon,Use passive voice,Lengthen sentences,A,easy,1.1,-1.0,0.2
English Communication,situational,Fix incorrect spelling?,Proofread and correct,Ignore errors,Guess spelling,Skip the word,A,easy,1.1,-1.0,0.2
English Communication,situational,Make writing professional?,Use formal tone,Use casual tone,Use slang,Use emoji,A,easy,1.1,-1.0,0.2
English Communication,situational,Avoid ambiguous writing?,Use clear precise words,Use vague terms,Add jargon,Use abbreviations,A,medium,1.3,0.4,0.1
English Communication,situational,Fix incorrect sentence?,Check and fix grammar,Use slang,Ignore errors,Skip review,A,easy,1.1,-1.0,0.2
English Communication,situational,Correct plural of child?,Children,Childs,Childes,Childrens,A,easy,1.1,-1.0,0.2
English Communication,situational,Use correct article before apple?,an,a,the,no article,A,easy,1.1,-1.0,0.2
English Communication,situational,When to use passive voice?,When object is the focus,Subject is the focus,Verb is the focus,Adverb is the focus,A,medium,1.3,0.4,0.1
Machine Learning,mcq,What is overfitting?,Memorization of training data,Generalization to new data,Noise removal,Underfitting,A,medium,1.4,0.6,0.1
Machine Learning,mcq,What is underfitting?,Poor model performance,Overfitting,Perfect fit,High accuracy,A,medium,1.3,0.4,0.1
Machine Learning,mcq,Which is supervised learning?,Regression,Clustering,PCA,K-Means,A,easy,1.1,-1.0,0.2
Machine Learning,mcq,Which is unsupervised learning?,Clustering,Regression,SVM,Decision Tree,A,easy,1.1,-1.0,0.2
Machine Learning,mcq,Which is a classification algorithm?,Logistic Regression,Linear Regression,K-Means,PCA,A,medium,1.3,0.4,0.1
Machine Learning,mcq,Which technique reduces overfitting?,Regularization,Adding noise,Memorization,Removing data,A,medium,1.4,0.5,0.1
Machine Learning,mcq,What is a loss function?,Error measure,Accuracy score,Precision value,Recall rate,A,medium,1.3,0.4,0.1
Machine Learning,mcq,What is gradient descent?,Optimization algorithm,Clustering method,Classification method,Regression type,A,medium,1.4,0.5,0.1
Machine Learning,mcq,Which is an ensemble method?,Random Forest,KNN,SVM,Logistic Regression,A,medium,1.4,0.5,0.1
Machine Learning,mcq,What is SVM?,Support vector classifier,Clustering algorithm,Dimensionality reducer,Generative model,A,medium,1.3,0.4,0.1
Machine Learning,mcq,What is KNN?,Lazy learner,Eager learner,Deep learner,Active learner,A,medium,1.3,0.4,0.1
Machine Learning,mcq,Which model uses neurons?,Neural Network,SVM,KNN,Decision Tree,A,easy,1.1,-1.0,0.2
Machine Learning,mcq,Which is an activation function?,ReLU,Gradient,Loss,Bias,A,medium,1.3,0.4,0.1
Machine Learning,mcq,What is bias in ML?,Offset term,Slope,Weight,Gradient,A,medium,1.3,0.4,0.1
Machine Learning,mcq,What is variance in ML?,Model sensitivity to training data,Model accuracy,Model speed,Model size,A,medium,1.3,0.4,0.1
Machine Learning,mcq,Which improves model performance?,More quality training data,Adding noise,Randomness,Increasing bias,A,easy,1.1,-1.0,0.2
Machine Learning,mcq,What is feature scaling?,Normalize feature values,Cluster features,Classify features,Predict features,A,medium,1.3,0.4,0.1
Machine Learning,mcq,What is PCA?,Dimensionality reduction,Classification,Regression,Clustering,A,medium,1.4,0.5,0.1
Machine Learning,mcq,Which is a classification metric?,Accuracy,MSE,RMSE,MAE,A,easy,1.1,-1.0,0.2
Machine Learning,mcq,Formula for recall?,TP/(TP+FN),TP/(TP+FP),TN/(TN+FP),TP/Total,A,medium,1.4,0.5,0.1
Machine Learning,situational,Model shows high variance?,Overfitting,Underfitting,Good generalization,Accurate model,A,medium,1.4,0.6,0.1
Machine Learning,situational,Data has no labels?,Clustering,Classification,Regression,SVM,A,medium,1.3,0.4,0.1
Machine Learning,situational,Assign categories to data?,Logistic Regression,Linear Regression,K-Means,PCA,A,medium,1.3,0.4,0.1
Machine Learning,situational,Minimize training error?,Gradient Descent,Random Search,Grid Search,Manual Tuning,A,medium,1.4,0.5,0.1
Machine Learning,situational,Reduce feature dimensions?,PCA,KNN,SVM,Regression,A,medium,1.4,0.5,0.1
Machine Learning,situational,Prevent overfitting?,Regularization,Add noise,Remove data,Memorize,A,medium,1.4,0.5,0.1
Machine Learning,situational,Standardize feature ranges?,Feature scaling,Clustering,Classification,Prediction,A,medium,1.3,0.4,0.1
Machine Learning,situational,Combine multiple models?,Random Forest,SVM,KNN,Logistic Regression,A,medium,1.4,0.5,0.1
Machine Learning,situational,Measure classification quality?,Accuracy,MSE,RMSE,MAE,A,easy,1.1,-1.0,0.2
Machine Learning,situational,Optimize the loss function?,Gradient Descent,Random Search,Manual Tuning,Ignore loss,A,medium,1.4,0.5,0.1
Mathematics,mcq,Derivative of x^2?,2x,x^2,1,x,A,easy,1.1,-1.0,0.2
Mathematics,mcq,Integral of 1 dx?,x,1,0,x^2,A,easy,1.1,-1.0,0.2
Mathematics,mcq,Value of π (pi)?,3.14159,2.14159,4.14159,1.14159,A,easy,1.1,-1.0,0.2
Mathematics,mcq,Value of log(1)?,0,1,10,-1,A,easy,1.1,-1.0,0.2
Mathematics,mcq,Derivative of sin x?,cos x,sin x,-cos x,-sin x,A,medium,1.3,0.4,0.1
Mathematics,mcq,Determinant of 2x2 matrix [a b; c d]?,ad-bc,ab+cd,a+b+c+d,ad+bc,A,medium,1.3,0.4,0.1
Mathematics,mcq,Limit of sinx/x as x→0?,1,0,∞,-1,A,medium,1.4,0.5,0.1
Mathematics,mcq,Vector magnitude formula?,√(x²+y²),x+y,x-y,x*y,A,medium,1.3,0.4,0.1
Mathematics,mcq,Probability range?,0 to 1,1 to 10,-1 to 1,0 to ∞,A,easy,1.1,-1.0,0.2
Mathematics,mcq,Mean formula?,Sum/n,Sum*n,Max-Min,Sum/2,A,easy,1.1,-1.0,0.2
Mathematics,mcq,Variance measures?,Data spread,Mean,Mode,Median,A,medium,1.3,0.4,0.1
Mathematics,mcq,Slope formula?,(y2-y1)/(x2-x1),(x2-x1)/(y2-y1),(y1-y2)/(x1-x2),y/x,A,easy,1.1,-1.0,0.2
Mathematics,mcq,Area of a circle?,πr²,2πr,r²,πd,A,easy,1.1,-1.0,0.2
Mathematics,mcq,Derivative of a constant?,0,1,x,x²,A,easy,1.1,-1.0,0.2
Mathematics,mcq,Exponent multiplication rule?,a^m * a^n = a^(m+n),a^m * a^n = a^(m-n),a^m * a^n = a^(m*n),a^m * a^n = a^(m/n),A,medium,1.3,0.4,0.1
Mathematics,mcq,Logarithm product rule?,log(ab)=log a+log b,log(a+b)=log a*log b,log(a/b)=log a+log b,log(a^b)=log a/log b,A,medium,1.3,0.4,0.1
Mathematics,mcq,Quadratic formula?,(-b±√(b²-4ac))/2a,(-b±√(b²+4ac))/2a,(b±√(b²-4ac))/2a,(-b±√(b²-4ac))/a,A,medium,1.4,0.5,0.1
Mathematics,mcq,Distance between two points?,√((x2-x1)²+(y2-y1)²),(x2-x1)+(y2-y1),√((x2+x1)²+(y2+y1)²),(x2-x1)*(y2-y1),A,medium,1.3,0.4,0.1
Mathematics,mcq,Permutation formula?,n!,nCr,n/(n-r),n!*r!,A,medium,1.3,0.4,0.1
Mathematics,mcq,Combination formula?,nCr = n!/(r!(n-r)!),nPr,n!+r!,n*r,A,medium,1.3,0.4,0.1
Mathematics,situational,Find slope of a line?,Use (y2-y1)/(x2-x1),Count steps,Estimate visually,Use table,A,easy,1.1,-1.0,0.2
Mathematics,situational,Calculate area of a circle?,πr²,2πr,πd,r²,A,easy,1.1,-1.0,0.2
Mathematics,situational,Find rate of change?,Differentiate,Integrate,Multiply,Divide,A,medium,1.3,0.4,0.1
Mathematics,situational,Valid probability range?,0 to 1,1 to 10,-1 to 0,0 to 100,A,easy,1.1,-1.0,0.2
Mathematics,situational,Find distance between points?,Use distance formula,Guess,Count units,Estimate,A,medium,1.3,0.4,0.1
Mathematics,situational,Solve quadratic equation?,Quadratic formula,Trial and error,Graph only,Divide by x,A,medium,1.4,0.5,0.1
Mathematics,situational,Find average of values?,Sum/n,Sum*n,Max-Min,Sum/2,A,easy,1.1,-1.0,0.2
Mathematics,situational,Find magnitude of a vector?,√(sum of squares),Sum of components,Product of components,Maximum component,A,medium,1.3,0.4,0.1
Mathematics,situational,Evaluate a limit?,Apply limit rules,Ignore the limit,Guess the value,Average values,A,medium,1.4,0.5,0.1
Mathematics,situational,Simplify logarithm?,Apply log rules,Ignore,Expand randomly,Guess,A,medium,1.3,0.4,0.1
Object-Oriented Programming,mcq,What is encapsulation?,Data hiding and bundling,Inheritance,Polymorphism,Abstraction,A,easy,1.1,-1.0,0.2
Object-Oriented Programming,mcq,What is inheritance?,Reuse parent class code,Hide data,Polymorphism,Encapsulation,A,easy,1.1,-1.0,0.2
Object-Oriented Programming,mcq,Polymorphism means?,Many forms,One fixed form,No form,Static form,A,easy,1.1,-1.0,0.2
Object-Oriented Programming,mcq,Abstraction hides?,Implementation details,Raw data,All methods,All objects,A,easy,1.1,-1.0,0.2
Object-Oriented Programming,mcq,A class is?,Blueprint for objects,An object,An instance,A method,A,easy,1.1,-1.0,0.2
Object-Oriented Programming,mcq,An object is?,Instance of a class,Definition of class,Blueprint,A method,A,easy,1.1,-1.0,0.2
Object-Oriented Programming,mcq,What is a constructor?,Initializes an object,Destroys an object,Copies an object,Prints an object,A,easy,1.1,-1.0,0.2
Object-Oriented Programming,mcq,What is a destructor?,Destroys an object,Initializes an object,Copies an object,Prints an object,A,easy,1.1,-1.0,0.2
Object-Oriented Programming,mcq,Method overloading?,Same name different parameters,Same name same parameters,Different name same parameters,Different name different parameters,A,medium,1.3,0.4,0.1
Object-Oriented Programming,mcq,Method overriding?,Runtime polymorphism,Compile-time polymorphism,Static binding,No inheritance needed,A,medium,1.3,0.4,0.1
Object-Oriented Programming,mcq,Which is an access specifier?,Private,Public,Protected,Static,A,easy,1.1,-1.0,0.2
Object-Oriented Programming,mcq,Static method belongs to?,Class level,Instance level,Object level,Method level,A,medium,1.3,0.4,0.1
Object-Oriented Programming,mcq,Dynamic binding resolves at?,Runtime,Compile time,Static resolution,Link time,A,medium,1.3,0.4,0.1
Object-Oriented Programming,mcq,Interface is?,Abstract contract,Concrete class,Static class,Final class,A,medium,1.3,0.4,0.1
Object-Oriented Programming,mcq,Multiple inheritance means?,Many parent classes,One parent class,No parent class,Self-inheritance,A,medium,1.3,0.4,0.1
Object-Oriented Programming,mcq,Composition represents?,Has-a relationship,Is-a relationship,Uses-a relationship,Depends-on relation,A,medium,1.3,0.4,0.1
Object-Oriented Programming,mcq,Aggregation represents?,Weak has-a relationship,Strong has-a relationship,Is-a relationship,Uses-a relationship,A,medium,1.3,0.4,0.1
Object-Oriented Programming,mcq,Main benefit of encapsulation?,Security and access control,Execution speed,Code complexity,Data redundancy,A,medium,1.3,0.4,0.1
Object-Oriented Programming,mcq,Which type of polymorphism is overloading?,Compile-time polymorphism,Runtime polymorphism,Static polymorphism only,No polymorphism,A,medium,1.3,0.4,0.1
Object-Oriented Programming,mcq,Example of abstraction?,Interface,Variable,Loop,Array,A,medium,1.3,0.4,0.1
Object-Oriented Programming,situational,Hide internal data?,Encapsulation,Inheritance,Polymorphism,Abstraction,A,easy,1.1,-1.0,0.2
Object-Oriented Programming,situational,Reuse parent class code?,Inheritance,Encapsulation,Abstraction,Polymorphism,A,easy,1.1,-1.0,0.2
Object-Oriented Programming,situational,Method behaves differently by type?,Polymorphism,Encapsulation,Inheritance,Abstraction,A,easy,1.1,-1.0,0.2
Object-Oriented Programming,situational,Hide implementation details?,Abstraction,Encapsulation,Inheritance,Polymorphism,A,easy,1.1,-1.0,0.2
Object-Oriented Programming,situational,Initialize a new object?,Constructor,Destructor,Method,Class,A,easy,1.1,-1.0,0.2
Object-Oriented Programming,situational,Free object memory?,Destructor,Constructor,Method,Class,A,easy,1.1,-1.0,0.2
Object-Oriented Programming,situational,Achieve runtime polymorphism?,Override,Overload,Encapsulate,Abstract,A,medium,1.3,0.4,0.1
Object-Oriented Programming,situational,Achieve compile-time polymorphism?,Overload,Override,Inherit,Abstract,A,medium,1.3,0.4,0.1
Object-Oriented Programming,situational,Restrict data access?,Private,Public,Static,Final,A,easy,1.1,-1.0,0.2
Object-Oriented Programming,situational,Model object relationship?,Composition,Inheritance,Polymorphism,Abstraction,A,medium,1.3,0.4,0.1
